strainB1, yBS1042-120
strainC1, yBS1042-121
strainD1, yBS1042-121
strainE1, yBS1042-F58A-BFP-col1
strainF1, yBS1042-F58A-BFP-col1
strainG1, yBS1042-F58A-BFP-col1
strainB2, yBS1042-F58C-BFP-col1
strainC2, yBS1042-F58C-BFP-col1
strainD2, yBS1042-F58C-BFP-col1
strainE2, yBS1042-F58G-BFP-col1
strainF2, yBS1042-F58G-BFP-col1
strainG2, yBS1042-F58G-BFP-col1
