strain1, MG1655-dLac
plasmidB1, pVER-LacI-WTA-01
plasmidC1, pVER-LacI-WTA-02
plasmidD1, pVER-LacI-WTB-03
plasmidE1, pVER-LacI-WTC-04
plasmidF1, pVER-LacI-WTA-05
plasmidG1, pVER-LacI-WTA-06
plasmidB2, pVER-LacI-WTB-07
plasmidC2, pVER-LacI-WTC-08
plasmidD2, pVER-LacI-WTA-09
plasmidE2, pVER-LacI-WTA-10
plasmidF2, pVER-LacI-WTB-11
plasmidG2, pVER-LacI-WTC-12
